GEN,BEZ,AGS,Fälle Gestern bis 00Uhr,Änderungsrate (24 Std. bis 19.04 00:00),Fälle Heute bis 00Uhr,CV-Fälle Tagespiegel Verifizierung,Quelle 1,Gestrige Quellen,Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantäne,Stationär,Intensiv,Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder offiziell sein)",Contributor,NEU,"Bemerkungen (Anzahl, Uhrzeit) - MUSS EINGEBEN WENN ""GEPRÜFT"" - C=Fälle, G=Genesen, D=Todesfälle",Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,IFSG Spalte,Genesen (verifiziert),Coronavirus Fälle heute (verifiziert),Coronavirus Todesfälle (verifiziert),"Quarantäne 
verifiziert",Todesfälle (COVID-19),Tests,Negativ Tests,Datum,Contributor.1,TWITTER,FACEBOOK/INSTAGRAM,Geschätzt,Geschätzt.1,Sicherung - Genesen,Sicherung - Todesfälle,Sicherung - Zeit,Sicherung - Bundesland,Sicherung - Post-Check,Geschätzt.2
Grafschaft Bentheim,Landkreis,3456,213.0,0%,213,,https://www.grafschaft-bentheim.de/staticsite/staticsite2.php?menuid=1873&topmenu=1873,https://www.grafschaft-bentheim.de/staticsite/staticsite2.php?menuid=1873&topmenu=1873,24/04/2020 00:00, 213,154.0, 163,,,13.0,24/04/2020,https://www.gn-online.de/grafschaft/stand-am-freitag-keine-neue-infizierung-aber-ein-todesfall-351939.html,@Colonia Claudia,0,C213 G154 Q163 D13 17:47,Stain fels,Johannes,1,,154.0,209,13.0,335.0,,,,,,,https://www.facebook.com/GrafschaftBentheim/,3.0,160,154.0,12.0,23/04/2020,3,1.0,https://www.grafschaft-bentheim.de/staticsite/staticsite2.php?menuid=1873&topmenu=1873
Hameln-Pyrmont,Landkreis,3252,122.0,1%,123,,"https://www.hameln-pyrmont.de/Landkreis/Aktuelle-Presseinformationen.php?object=tx,2561.5&ModID=7&FID=2749.5615.1&NavID=2561.7","https://www.hameln-pyrmont.de/Landkreis/Zahlen-zu-den-Corona-F%C3%A4llen-im-Landkreis-Hameln-Pyrmont.php?object=tx,2561.5&ModID=7&FID=2561.13798.1&NavID=2561.7",24/04/2020 00:00, 123,87.0, 95,12.0,,10.0,24/04/2020,"https://www.hameln-pyrmont.de/Landkreis/Zahlen-zu-den-Corona-F%C3%A4llen-im-Landkreis-Hameln-Pyrmont.php?object=tx,2561.5&ModID=7&FID=2561.13801.1&NavID=2561.7",James, 1,C123 G87 Q95 S12 D10 18:14,Johannes,Maria,1,,87.0,122,10.0,92.0,,,,,,,https://www.facebook.com/hameln.pyrmont,3.0,94,83.0,10.0,23/04/2020,3,1.0,"https://www.hameln-pyrmont.de/Landkreis/Zahlen-zu-den-Corona-F%C3%A4llen-im-Landkreis-Hameln-Pyrmont.php?object=tx,2561.5&ModID=7&FID=2561.13798.1&NavID=2561.7"
Harburg,Landkreis,3353,467.0,1%,471,,https://www.landkreis-harburg.de/corona,https://www.landkreis-harburg.de/corona,24/04/2020 13:30, 471,263.0,,,,9.0,24/04/2020 13:30,https://www.landkreis-harburg.de/corona,@mittedeathsquad, 4,C471 G263 D9 17:47,Johannes,@jonasfbb,1,,263.0,460,9.0,,,,,,,,https://www.facebook.com/LandkreisWL/,2.0,316,255.0,9.0,23/04/2020 13:30,3,1.0,https://www.landkreis-harburg.de/corona
Heidekreis,Landkreis,3358,65.0,2%,66,,https://www.heidekreis.de/home/gesundheit-soziales/gesundheit-veterinaerwesen/coronavirus.aspx,https://www.heidekreis.de/home/gesundheit-soziales/gesundheit-veterinaerwesen/coronavirus.aspx,24/04/2020 10:30, 66,53.0,,,,1.0,24/04/2020 10:30,https://www.heidekreis.de/home/gesundheit-soziales/gesundheit-veterinaerwesen/coronavirus.aspx,@distanzreiter, 1,C66 G53 D1 17:48,Johannes,@jonasfbb,1,,53.0,64,1.0,,,,,,,,,1.0,48,52.0,1.0,23/04/2020,3,1.0,https://www.heidekreis.de/home/gesundheit-soziales/gesundheit-veterinaerwesen/coronavirus.aspx
Helmstedt,Landkreis,3154,128.0,2%,130,,https://www.helmstedt.de/verwaltung/dienstleistungen/dienstleistung.php?id=692&menuid=662&refmenuid=1114&reftopmenu=782&topmenu=637,https://www.helmstedt.de/verwaltung/dienstleistungen/dienstleistung.php?id=692&menuid=662&refmenuid=1114&reftopmenu=782&topmenu=637,24/04/2020 00:00, 130,108.0, 164,4.0,2.0,2.0,24/04/2020,https://www.helmstedt.de/verwaltung/dienstleistungen/dienstleistung.php?id=692&menuid=662&refmenuid=1114&reftopmenu=782&topmenu=637,@Elvte_76, 2,C130 G108 D2 17:49,Johannes,@jonasfbb,1,,108.0,128,2.0,164.0,,,,,,,https://www.facebook.com/Landkreis-Helmstedt-100299078281024/,,91,108.0,2.0,23/04/2020 00:00,3,1.0,https://www.helmstedt.de/verwaltung/dienstleistungen/dienstleistung.php?id=692&menuid=662&refmenuid=1114&reftopmenu=782&topmenu=637
Hildesheim,Landkreis,3254,290.0,0%,290,,https://www.landkreishildesheim.de/,https://www.niedersachsen.de/Coronavirus/aktuelle_lage_in_niedersachsen/,24/04/2020 00:00, 290,210.0, 220,23.0,,2.0,24/04/2020,"https://www.landkreishildesheim.de/-Landkreis-Coronavirus-Aktuelle-Fallzahlen-f%C3%BCr-den-Landkreis-Hildesheim.php?object=tx,2829.5&ModID=7&mobile=off&FID=2829.3310.1",Johannes,0,C290 (Landesmin.) C210 Q220 S23 D2 (LK) 18.42,Maria,Stain Fels,1,,210.0,285,2.0,192.0,,,,,,,https://www.facebook.com/HildesheimLandkreis/,1.0,211,205.0,2.0,23/04/2020 00:00,3,1.0,https://www.niedersachsen.de/Coronavirus/aktuelle_lage_in_niedersachsen/
Holzminden,Landkreis,3255,103.0,1%,104,,https://www.landkreis-holzminden.de/portal/seiten/aktuelles-zum-coronavirus-900000405-25600.html?rubrik=900000005,https://www.landkreis-holzminden.de/portal/seiten/aktuelles-zum-coronavirus-900000405-25600.html?rubrik=900000005,24/04/2020 09:20, 104,71.0,,,,5.0,24/04/2020 09:20,https://www.landkreis-holzminden.de/portal/seiten/aktuelles-zum-coronavirus-900000405-25600.html?rubrik=900000005,@mittedeathsquad, 1,C104 G71 D5 17:49,Johannes,@jonasfbb,1,,71.0,103,5.0,,,,,,,,,1.0,85,71.0,5.0,23/04/2020 09:30,3,1.0,https://www.landkreis-holzminden.de/portal/seiten/aktuelles-zum-coronavirus-900000405-25600.html?rubrik=900000005
Leer,Landkreis,3457,90.0,1%,91,,https://www.landkreis-leer.de/Leben-Lernen/Coronavirus,https://www.landkreis-leer.de/Leben-Lernen/Coronavirus,24/04/2020 00:00, 91,65.0, 47,7.0,,2.0,24/04/2020,https://www.landkreis-leer.de/Leben-Lernen/Coronavirus,@distanzreiter, 1,C91 G65 Q47 S7 D2 17:50,Johannes,Maria,1,,65.0,90,2.0,95.0,,,,,,,https://www.facebook.com/LandkreisLeer/,1.0,63,62.0,2.0,23/04/2020 00:00,3,1.0,https://www.landkreis-leer.de/Leben-Lernen/Coronavirus
Lüchow-Dannenberg,Landkreis,3354,17.0,0%,17,,https://www.luechow-dannenberg.de/home/familie-soziales-gesundheit/corona-virus.aspx,https://www.luechow-dannenberg.de/home/aktuelles/pressemitteilungen/corona-aktuelle-lage-vom-22-april-2020-9-30-uhr-0.aspx,24/04/2020 10:55, 17,12.0, 44,,,2.0,24/04/2020 10:55,https://www.luechow-dannenberg.de/home/familie-soziales-gesundheit/corona-virus-neu.aspx,@Elvte_76,0,C17 G12 Q44 D2 17:51,Johannes,Maria,1,,12.0,17,2.0,24.0,,,,,,,,2.0,14,12.0,2.0,23/04/2020 09:15,3,0.0,https://www.luechow-dannenberg.de/home/aktuelles/pressemitteilungen/corona-aktuelle-lage-vom-22-april-2020-9-30-uhr-0.aspx
Lüneburg,Landkreis,3355,164.0,0%,164,,https://www.landkreis-lueneburg.de/,https://www.niedersachsen.de/Coronavirus/aktuelle_lage_in_niedersachsen/,24/04/2020 00:00, 164,149.0,,,,,24/04/2020,https://www.niedersachsen.de/Coronavirus/aktuelle_lage_in_niedersachsen/,@Colonia Claudia,0,C164 (Landesmin.) G149 D0 (LK) 17:52,Johannes,Maria,1,,149.0,164,,,,,,,,,https://www.facebook.com/lueneburginfo/,,132,144.0,,23/04/2020,3,0.0,https://www.niedersachsen.de/Coronavirus/aktuelle_lage_in_niedersachsen/
Nienburg (Weser),Landkreis,3256,64.0,0%,64,,https://www.lk-nienburg.de/portal/meldungen/corona-virus-buergertelefon-und-bestaetigte-infizierungen-901005852-21500.html?rubrik=901000027,https://www.lk-nienburg.de/portal/meldungen/corona-virus-buergertelefon-und-bestaetigte-infizierungen-901005852-21500.html?rubrik=901000027,24/04/2020 09:58, 64,54.0, 48,,,1.0,24/04/2020 09:58,https://www.lk-nienburg.de/portal/meldungen/corona-virus-buergertelefon-und-bestaetigte-infizierungen-901005852-21500.html?rubrik=901000027,@Elvte_76,0,C64 G54 Q48 D1 17:52,Johannes,Maria,1,,54.0,64,1.0,124.0,,,,,,,,,56,54.0,1.0,23/04/2020,3,0.0,https://www.lk-nienburg.de/portal/meldungen/corona-virus-buergertelefon-und-bestaetigte-infizierungen-901005852-21500.html?rubrik=901000027
Northeim,Landkreis,3155,115.0,0%,115,,https://www.landkreis-northeim.de/portal/seiten/fallzahlen-im-landkreis-northeim-900000280-23900.html?rubrik=900000070,https://www.landkreis-northeim.de/portal/meldungen/entwicklung-des-infektionsgeschehens-22-04-2020--900001898-23900.html?rubrik=900000047,24/04/2020 00:00, 115,54.0,,6.0,,1.0,24.04.2020,https://www.landkreis-northeim.de/portal/meldungen/entwicklung-des-infektionsgeschehens-24-04-2020--900001909-23900.html?rubrik=900000047,@Elvte_76,0,C115 G54 D1 17:53,Johannes,Maria,1,,54.0,111,1.0,,,,,,,,https://www.facebook.com/LKNortheim/,,64,52.0,,23/04/2020,3,1.0,https://www.landkreis-northeim.de/portal/meldungen/entwicklung-des-infektionsgeschehens-22-04-2020--900001898-23900.html?rubrik=900000047
Oldenburg,Landkreis,3458,218.0,3%,225,,https://www.oldenburg-kreis.de/portal/seiten/coronavirus-900000764-21700.html,https://www.oldenburg-kreis.de/portal/seiten/coronavirus-900000764-21700.html,24/04/2020 12:00, 225,196.0, 144,,,10.0,24.04.2020 12:00,https://www.oldenburg-kreis.de/portal/seiten/coronavirus-900000764-21700.html,@Elvte_76, 7,C225 G196 Q144 D10 17:54,Johannes,@jonasfbb,1,,196.0,216,10.0,256.0,,,,,,,,3.0,182,195.0,10.0,23/04/2020 00:00,3,1.0,https://www.oldenburg-kreis.de/portal/seiten/coronavirus-900000764-21700.html
Oldenburg (Oldb),Kreisfreie Stadt,3403,202.0,0%,202,,https://www.oldenburg.de/startseite/leben-umwelt/soziales/gesundheitsamt/corona/corona-aktuelle-lage-in-oldenburg.html,https://www.oldenburg.de/startseite/leben-umwelt/soziales/gesundheitsamt/corona/corona-aktuelle-lage-in-oldenburg.html,23/04/2020 00:00, 202,,1 064,,,1.0,23.04.2020,https://www.oldenburg.de/startseite/leben-umwelt/soziales/gesundheitsamt/corona/corona-aktuelle-lage-in-oldenburg.html,NichtsNeues,0,bisher keine Meldung,Maria,Johannes,1,,,196,1.0,684.0,,,,,,,,,173,,1.0,23/04/2020,3,1.0,https://www.oldenburg.de/startseite/leben-umwelt/soziales/gesundheitsamt/corona/corona-aktuelle-lage-in-oldenburg.html
Osnabrück,Kreisfreie Stadt,3404,453.0,0%,454,,https://www.landkreis-osnabrueck.de/veterinaer-gesundheit/infektionsschutz/covid-19,https://geo.osnabrueck.de/portal/apps/webappviewer/index.html?id=e8c3913ddda04e0a897d8e07196b8583,24/04/2020 14:30, 454,385.0, 106,69.0,13.0,16.0,24/04/2020 14:30,https://geo.osnabrueck.de/portal/apps/webappviewer/index.html?id=e8c3913ddda04e0a897d8e07196b8583,@distanzreiter, 1,C454 G385 Q106 S69 I13 D16 17:58 (Aufteilung Tote unklar),Johannes,Maria,1,,385.0,450,16.0,200.0,,,,,,,,6.0,368,379.0,13.0,23/04/2020 08:16,3,1.0,https://geo.osnabrueck.de/portal/apps/webappviewer/index.html?id=e8c3913ddda04e0a897d8e07196b8583
Osnabrück,Landkreis,3459,892.0,2%,906,901.0,https://www.landkreis-osnabrueck.de/veterinaer-gesundheit/infektionsschutz/covid-19,https://geo.osnabrueck.de/portal/apps/webappviewer/index.html?id=e8c3913ddda04e0a897d8e07196b8583,24/04/2020 14:30, 906,656.0, 235,,,40.0,24/04/2020 14:30,https://geo.osnabrueck.de/portal/apps/webappviewer/index.html?id=e8c3913ddda04e0a897d8e07196b8583,@distanzreiter, 14,C906 G656 Q235 D40 17:59 (Aufteilung Tote unklar),Johannes,Maria,1,,656.0,886,40.0,473.0,,,,,,,,10.0,629,635.0,37.0,23/04/2020 08:16,3,1.0,https://geo.osnabrueck.de/portal/apps/webappviewer/index.html?id=e8c3913ddda04e0a897d8e07196b8583
Osterholz,Landkreis,3356,78.0,1%,79,,https://www.landkreis-osterholz.de/portal/meldungen/aktuelle-informationen-zum-coronavirus-901005017-21000.html?rubrik=901000012,https://www.landkreis-osterholz.de/portal/meldungen/aktuelle-informationen-zum-coronavirus-901005017-21000.html?rubrik=901000012,24/04/2020 00:00, 79,62.0, 39,4.0,,,24.04.2020,https://www.landkreis-osterholz.de/portal/meldungen/ein-weiterer-bestaetigter-coronafall-aus-hambergen-901005204-21000.html?rubrik=901000054,@distanzreiter, 1,c79 G62 Q39 S4 18:00,Johannes,Maria,1,,62.0,76,,52.0,,,,,,,,,64,61.0,,23/04/2020 00:00,3,1.0,https://www.landkreis-osterholz.de/portal/meldungen/aktuelle-informationen-zum-coronavirus-901005017-21000.html?rubrik=901000012
Peine,Landkreis,3157,136.0,0%,136,,https://www.landkreis-peine.de/Aktuelles-B%C3%BCrgerservice/Coronaviren,https://www.landkreis-peine.de/media/custom/2555_8683_1.PDF?1587549190,24/04/2020 00:00, 136,88.0, 116,,,12.0,24.04.2020,https://www.landkreis-peine.de/Aktuelles-B%C3%BCrgerservice/Coronaviren,@Elvte_76,0,C136 G88 D12 18:01,Johannes,Maria,1,,88.0,135,12.0,90.0,,,,,,https://twitter.com/LandkreisPeine,https://www.facebook.com/LandkreisPeine/,5.0,122,86.0,11.0,23.04.2020,3,1.0,https://www.landkreis-peine.de/media/custom/2555_8683_1.PDF?1587549190
Region Hannover,Landkreis,3241,1.7930000000000001,1%,1819,,https://www.hannover.de/Leben-in-der-Region-Hannover/Verwaltungen-Kommunen/Die-Verwaltung-der-Region-Hannover/Region-Hannover/Aktuelle-Informationen-zum-Coronavirus-der-Region-Hannover,https://www.hannover.de/Leben-in-der-Region-Hannover/Verwaltungen-Kommunen/Die-Verwaltung-der-Region-Hannover/Region-Hannover/Aktuelle-Informationen-zum-Coronavirus-der-Region-Hannover,24/04/2020 00:00,1 819,922.0,,186.0,42.0,60.0,24/04/2020,https://www.hannover.de/Leben-in-der-Region-Hannover/Verwaltungen-Kommunen/Die-Verwaltung-der-Region-Hannover/Region-Hannover/Aktuelle-Informationen-zum-Coronavirus-der-Region-Hannover,@Colonia Claudia, 26,1819 C 922 S186 I42 G 60 D Checked 18:02,@jonasfbb,@plateauton,1,,922.0,1749,60.0,,,,,,,,,17.0,1310,889.0,54.0,23/04/2020,3,1.0,https://www.hannover.de/Leben-in-der-Region-Hannover/Verwaltungen-Kommunen/Die-Verwaltung-der-Region-Hannover/Region-Hannover/Aktuelle-Informationen-zum-Coronavirus-der-Region-Hannover
Rotenburg (Wümme),Landkreis,3357,98.0,1%,99,,https://www.lk-row.de/portal/seiten/coronavirus-sars-cov-2--900000145-23700.html?rubrik=1007,https://www.lk-row.de/portal/seiten/coronavirus-sars-cov-2--900000145-23700.html?rubrik=1007,24/04/2020 11:30, 99,76.0, 63,4.0,,1.0,24/04/2020 11:30,https://www.lk-row.de/portal/seiten/coronavirus-sars-cov-2--900000145-23700.html?rubrik=1007,@bandur, 1,C99 G76 Q63 S4 D1 18:02,GSoy,@jonasfbb,1,,76.0,98,1.0,51.0,,,,,,,,1.0,76,72.0,1.0,23.04.2020,3,1.0,https://www.lk-row.de/portal/seiten/coronavirus-sars-cov-2--900000145-23700.html?rubrik=1007
Salzgitter,Kreisfreie Stadt,3102,126.0,0%,126,,https://www.salzgitter.de/,https://www.salzgitter.de/pressemeldungen/2020/infos-corona-virus.php,24/04/2020 08:15, 126,78.0, 249,,,5.0,24/04/2020 08:15,https://www.salzgitter.de/,@mittedeathsquad,0,C126 G78 Q249 D5 18:04,Johannes,Maria,1,,78.0,119,5.0,469.0,,,,,,https://twitter.com/stadtsalzgitter?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,1.0,85,78.0,5.0,23/04/2020 11:00,3,1.0,https://www.salzgitter.de/pressemeldungen/2020/infos-corona-virus.php
Schaumburg,Landkreis,3257,139.0,1%,141,,https://www.schaumburg.de/Aktuelles/Coronavirus,"https://www.schaumburg.de/Coronavirus/Corona-F%C3%A4lle-Stand-22-04-2020.php?object=tx,3020.5&ModID=7&FID=3020.13642.1",24/04/2020 00:00, 141,104.0, 32,8.0,,5.0,24/04/2020,"https://www.schaumburg.de/Coronavirus/Corona-F%C3%A4lle-Stand-24-04-2020.php?object=tx,3020.5&ModID=7&FID=3020.13645.1",@Elvte_76, 2,C141 G104 Q32 S8 D5 18:05,Johannes,@jonasfbb,1,,104.0,138,5.0,47.0,,,,,,https://twitter.com/LKSchaumburg,,,91,103.0,5.0,23/04/2020,3,1.0,"https://www.schaumburg.de/Coronavirus/Corona-F%C3%A4lle-Stand-22-04-2020.php?object=tx,3020.5&ModID=7&FID=3020.13642.1"
Stade,Landkreis,3359,182.0,1%,184,,https://www.landkreis-stade.de/portal/meldungen/coronavirus-aktuelle-lage-informationen-und-hinweise-des-gesundheitsamtes-landkreis-stade-901004416-20350.html?rubrik=901000006,https://www.niedersachsen.de/Coronavirus/aktuelle_lage_in_niedersachsen/,24/04/2020 00:00, 184,159.0, 32,,,6.0,24.04.2020,https://www.landkreis-stade.de/corona,@Elvte_76, 2,C184 G159 Q32 D6 18:06,Johannes,@jonasfbb,1,,159.0,180,6.0,95.0,,,,,,,,2.0,160,156.0,6.0,23/04/2020,3,1.0,https://www.niedersachsen.de/Coronavirus/aktuelle_lage_in_niedersachsen/
Uelzen,Landkreis,3360,42.0,2%,43,,https://www.landkreis-uelzen.de/home/soziales-familie-und-gesundheit/gesundheit/corona-virus.aspx,https://www.landkreis-uelzen.de/home/soziales-familie-und-gesundheit/gesundheit/corona-virus.aspx,24/04/2020 00:00, 43,31.0, 36,6.0,,,24/04/2020,https://www.landkreis-uelzen.de/home/soziales-familie-und-gesundheit/gesundheit/corona-virus.aspx,@distanzreiter, 1,C43 G31 Q36 S6 18:07,Johannes,Maria,1,,31.0,42,,,,,,,,,,,31,31.0,,23/04/2020 00:00,3,1.0,https://www.landkreis-uelzen.de/home/soziales-familie-und-gesundheit/gesundheit/corona-virus.aspx
Vechta,Landkreis,3460,304.0,0%,305,,https://www.landkreis-vechta.de/soziales-und-gesundheit/corona-im-landkreis-vechta.html,https://www.landkreis-vechta.de/nc/service/aktuelles/pressemitteilungen/einzelansicht/news/zahl-der-corona-faelle-im-landkreis-vechta-steigt-auf-302.html,24/04/2020 00:00, 305,256.0, 116,5.0,1.0,10.0,24/04/2020,https://www.landkreis-vechta.de/nc/service/aktuelles/pressemitteilungen/einzelansicht/news/305-bestaetigte-corona-faelle-im-landkreis-vechta.html,@distanzreiter, 1,C305 G256 Q116 S5 I1 D10 18:08,Johannes,Maria,1,,256.0,302,10.0,765.0,,,,,,,,6.0,253,254.0,10.0,23/04/2020,3,1.0,https://www.landkreis-vechta.de/nc/service/aktuelles/pressemitteilungen/einzelansicht/news/zahl-der-corona-faelle-im-landkreis-vechta-steigt-auf-302.html
Verden,Landkreis,3361,116.0,0%,116,,https://www.landkreis-verden.de/portal/seiten/aktuelles-zum-coronavirus-geschehen-im-landkreis-verden-901001573-20600.html?rubrik=901000034,https://www.landkreis-verden.de/portal/seiten/aktuelles-zum-coronavirus-geschehen-im-landkreis-verden-901001573-20600.html,24/04/2020 14:00, 116,103.0,,4.0,,1.0,24/04/2020 14:00,https://www.landkreis-verden.de/portal/seiten/aktuelles-zum-coronavirus-geschehen-im-landkreis-verden-901001573-20600.html?rubrik=901000034,GSoy,0,C116 G103 S4 D1 18:08,Johannes,Maria,1,,103.0,116,1.0,,,,,,,,,1.0,107,103.0,1.0,23/04/2020 14:00,3,0.0,https://www.landkreis-verden.de/portal/seiten/aktuelles-zum-coronavirus-geschehen-im-landkreis-verden-901001573-20600.html
Wesermarsch,Landkreis,3461,52.0,0%,52,,http://www.landkreis-wesermarsch.de/verwaltung-politik/fachdienste-im-ueberblick/gesundheit/aktuelles-coronoavirus.php,http://www.landkreis-wesermarsch.de/verwaltung-politik/fachdienste-im-ueberblick/gesundheit/aktuelles-coronoavirus.php,24/04/2020 00:00, 52,51.0,,,,1.0,24.04.2020,http://www.landkreis-wesermarsch.de/verwaltung-politik/fachdienste-im-ueberblick/gesundheit/aktuelles-coronoavirus.php,@Elvte_76,0,C52 G51 D1 18:09,Johannes,Maria,1,,51.0,52,1.0,,,,,,,,,1.0,48,51.0,1.0,23/04/2020 18:09,3,0.0,http://www.landkreis-wesermarsch.de/verwaltung-politik/fachdienste-im-ueberblick/gesundheit/aktuelles-coronoavirus.php
Wilhelmshaven,Kreisfreie Stadt,3405,17.0,0%,17,,https://www.wilhelmshaven.de/,https://www.wilhelmshaven.de/,24/04/2020 12:20, 17,14.0, 28,,,,24/04/2020 12:20,https://www.wilhelmshaven.de/Themen/Gesundheit/Coronavirus/Corona-Tagesmeldung.php,@Elvte_76,0,C17 G14 Q28 18:09,Johannes,Maria,1,,14.0,17,,21.0,,,,,,,,,13,14.0,,23/04/2020,3,0.0,https://www.wilhelmshaven.de/
Wittmund,Landkreis,3462,24.0,0%,24,,http://corona.landkreis-wittmund.de/,http://corona.landkreis-wittmund.de/,24/04/2020 00:00, 24,20.0, 50,,,,24/04/2020,http://corona.landkreis-wittmund.de/,@distanzreiter,0,C24 G20 Q50 18:10,Johannes,Maria,1,,20.0,24,,36.0,,,,,,,https://www.facebook.com/lkwittmund/,,20,20.0,,23/04/2020 12:00,3,0.0,http://corona.landkreis-wittmund.de/
Wolfenbüttel,Landkreis,3158,160.0,3%,165,,"https://www.lk-wolfenbuettel.de/Aktuelles/Presse/Informationen-des-Landkreises-zum-Corona-Virus.php?object=tx,3282.5.1&ModID=7&FID=3282.10903.1&NavID=175.225&La=1&kat=175.7%2C2697.106",https://www.niedersachsen.de/Coronavirus/aktuelle_lage_in_niedersachsen/,24/04/2020 00:00, 165,94.0,,4.0,2.0,8.0,24.04.2020,https://www.niedersachsen.de/Coronavirus/aktuelle_lage_in_niedersachsen/,@Elvte_76, 5,C165 (Landesmin.) G94 D8 (LK) 18:11,Johannes,Maria,1,,94.0,158,8.0,,,,,,,,,,86,90.0,7.0,23/04/2020,3,1.0,https://www.niedersachsen.de/Coronavirus/aktuelle_lage_in_niedersachsen/
Wolfsburg,Kreisfreie Stadt,3103,280.0,0%,280,,https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus,https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus,24/04/2020 00:00, 280,115.0,,10.0,,48.0,24/04/2020,https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus,@distanzreiter,0,C280 G115 S10 D48 18:11,Johannes,Maria,1,,115.0,277,48.0,,,,,,,,,32.0,228,115.0,48.0,23/04/2020 16:00,3,1.0,https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus
Bremen,Kreisfreie Stadt,4011,676.0,1%,682,,https://www.senatspressestelle.bremen.de/pressemitteilungen-1464,https://www.senatspressestelle.bremen.de/detail.php?gsid=bremen146.c.333772.de&asl=bremen02.c.732.de,24/04/2020 00:00, 682,348.0, 138,55.0,9.0,27.0,24/04/2020,https://www.senatspressestelle.bremen.de/detail.php?gsid=bremen146.c.333778.de&asl=bremen02.c.732.de,@Colonia Claudia, 6,C682 G348 D27 19:00,@LSDR,@jonasfbb,1,,348.0,643,27.0,138.0,,,,,,,,10.0,416,336.0,27.0,23/04/2020,4,1.0,https://www.senatspressestelle.bremen.de/detail.php?gsid=bremen146.c.333772.de&asl=bremen02.c.732.de
Bremerhaven,Kreisfreie Stadt,4012,32.0,19%,38,,https://www.senatspressestelle.bremen.de/pressemitteilungen-1464,https://www.senatspressestelle.bremen.de/detail.php?gsid=bremen146.c.333772.de&asl=bremen02.c.732.de,24/04/2020 00:00, 38,26.0,,,,,24/04/2020,https://www.senatspressestelle.bremen.de/detail.php?gsid=bremen146.c.333778.de&asl=bremen02.c.732.de,@Colonia Claudia, 6,C38 G26 19:00,@LSDR,@jonasfbb,1,,26.0,30,,,,,,,,,,,26,26.0,,23/04/2020,4,1.0,https://www.senatspressestelle.bremen.de/detail.php?gsid=bremen146.c.333772.de&asl=bremen02.c.732.de
Bielefeld,Kreisfreie Stadt,5711,349.0,0%,350,,https://www.bielefeld.de/de/gs/covi/,https://www.bielefeld.de/de/covi/,24/04/2020 14:00, 350,246.0, 607,16.0,4.0,3.0,24/04/2020 14:00,https://www.bielefeld.de/de/gs/covi/,@distanzreiter, 1,C350 G246 Q607 S16 I4 D3 19:02,@LSDR,Stain Fels,1,338.0,246.0,340,3.0,953.0,,,,,,,,1.0,257,245.0,2.0,23.04.2020 13:30,5,1.0,https://www.bielefeld.de/de/covi/
Bochum,Kreisfreie Stadt,5911,423.0,0%,425,,https://www.bochum.de/Corona,https://www.bochum.de/Pressemeldungen/22-April-2020/Corona-Hygiene-in-Schulen-und-Ramadan,24/04/2020 00:00, 425,334.0, 650,20.0,12.0,15.0,24/04/2020,https://www.bochum.de/Corona,@distanzreiter, 2,C425 G334  Q650 S20 I12 D15 19:04,@LSDR,Stain Fels,1,400.0,334.0,420,15.0,650.0,,,,,,,https://www.facebook.com/StadtBochum/,12.0,348,319.0,15.0,23/04/2020 19:30,5,1.0,https://www.bochum.de/Pressemeldungen/22-April-2020/Corona-Hygiene-in-Schulen-und-Ramadan
Bonn,Kreisfreie Stadt,5314,596.0,0%,598,,https://www.bonn.de/themen-entdecken/gesundheit-verbraucherschutz/coronavirus.php,https://www.bonn.de/themen-entdecken/gesundheit-verbraucherschutz/coronavirus.php,24/04/2020 10:30, 598,420.0,1 062,,,6.0,24/04/2020 10:30,https://www.bonn.de/themen-entdecken/gesundheit-verbraucherschutz/coronavirus.php,@distanzreiter, 2,C598 G420 Q1062 D6 19:05,@LSDR,Stain Fels,1,573.0,420.0,583,6.0,940.0,,,,,,,,2.0,437,409.0,6.0,23/04/2020,5,1.0,https://www.bonn.de/themen-entdecken/gesundheit-verbraucherschutz/coronavirus.php
